length,population_size,tournaments,elitism_rate,mutation_rate,population_size_min,population_size_max,population_size_unit,tournaments_min,tournaments_max,tournaments_unit,elitism_rate_min,elitism_rate_max,elitism_rate_unit,mutation_rate_min,mutation_rate_max,mutation_rate_unit
8082,54,4,81,31,,,,,,,,,,,,
8083,51,7,91,51,,,,,,,,,,,,
8086,53,3,81,1,,,,,,,,,,,,
8086,55,9,1,41,,,,,,,,,,,,
8087,51,8,81,51,,,,,,,,,,,,
8089,55,9,91,41,,,,,,,,,,,,
8090,56,6,71,31,,,,,,,,,,,,
8092,52,8,11,21,,,,,,,,,,,,
8094,53,6,21,41,,,,,,,,,,,,
8094,54,3,21,41,,,,,,,,,,,,
8098,51,4,1,41,,,,,,,,,,,,
8105,52,2,1,11,,,,,,,,,,,,
8107,57,4,41,51,,,,,,,,,,,,
8109,56,3,21,31,,,,,,,,,,,,
8110,50,5,1,41,,,,,,,,,,,,
8112,55,2,51,41,,,,,,,,,,,,
8112,55,4,41,51,,,,,,,,,,,,
8115,52,4,51,51,,,,,,,,,,,,
8117,51,7,11,1,,,,,,,,,,,,
8119,54,8,91,21,,,,,,,,,,,,
8119,54,9,61,51,,,,,,,,,,,,
8120,50,7,91,31,,,,,,,,,,,,
8121,56,8,71,11,,,,,,,,,,,,
8121,57,5,41,41,,,,,,,,,,,,
8123,55,3,11,11,,,,,,,,,,,,
8126,50,4,91,31,,,,,,,,,,,,
8131,52,5,61,11,,,,,,,,,,,,
8131,54,7,31,1,,,,,,,,,,,,
8132,52,3,1,41,,,,,,,,,,,,
8136,57,8,11,11,,,,,,,,,,,,
8137,52,4,11,21,,,,,,,,,,,,
8137,52,6,91,11,,,,,,,,,,,,
8143,53,8,11,21,,,,,,,,,,,,
8144,52,4,71,11,,,,,,,,,,,,
8145,53,5,21,11,,,,,,,,,,,,
8146,56,7,31,51,,,,,,,,,,,,
8149,53,3,1,51,,,,,,,,,,,,
8150,51,5,51,41,,,,,,,,,,,,
8151,56,9,91,11,,,,,,,,,,,,
8151,58,2,81,1,,,,,,,,,,,,
8152,56,4,41,51,,,,,,,,,,,,
8156,52,9,41,41,,,,,,,,,,,,
8156,54,7,71,11,,,,,,,,,,,,
8159,56,7,1,41,,,,,,,,,,,,
8159,58,2,1,51,,,,,,,,,,,,
8160,55,5,71,51,,,,,,,,,,,,
8162,58,2,51,1,,,,,,,,,,,,
8165,51,3,11,51,,,,,,,,,,,,
8167,51,4,91,31,,,,,,,,,,,,
8168,53,9,41,41,,,,,,,,,,,,
8171,56,5,51,31,,,,,,,,,,,,
8173,55,6,71,21,,,,,,,,,,,,
8176,54,2,71,21,,,,,,,,,,,,
8177,53,5,61,41,,,,,,,,,,,,
8178,52,7,61,51,,,,,,,,,,,,
8178,56,8,1,21,,,,,,,,,,,,
8178,57,7,61,51,,,,,,,,,,,,
8180,50,4,1,21,,,,,,,,,,,,
8180,52,4,91,1,,,,,,,,,,,,
8180,54,2,61,1,,,,,,,,,,,,
8181,55,4,11,41,,,,,,,,,,,,
8181,55,8,71,1,,,,,,,,,,,,
8183,52,5,1,1,,,,,,,,,,,,
8184,51,6,1,31,,,,,,,,,,,,
8184,54,6,81,51,,,,,,,,,,,,
8185,51,3,71,1,,,,,,,,,,,,
8185,55,6,91,1,,,,,,,,,,,,
8186,53,5,21,1,,,,,,,,,,,,
8186,54,2,1,41,,,,,,,,,,,,
8187,55,8,71,11,,,,,,,,,,,,
8188,54,5,1,31,,,,,,,,,,,,
8188,58,2,61,21,,,,,,,,,,,,
8190,56,7,41,51,,,,,,,,,,,,
8191,52,6,61,1,,,,,,,,,,,,
8191,53,7,41,41,,,,,,,,,,,,
8192,51,9,31,31,,,,,,,,,,,,
8193,55,3,41,31,,,,,,,,,,,,
8197,55,2,51,11,,,,,,,,,,,,
8197,55,5,31,1,,,,,,,,,,,,
8198,53,6,41,31,,,,,,,,,,,,
8200,51,5,81,51,,,,,,,,,,,,
8201,50,9,91,51,,,,,,,,,,,,
8202,52,3,11,31,,,,,,,,,,,,
8202,54,5,91,1,,,,,,,,,,,,
8202,54,7,1,51,,,,,,,,,,,,
8202,56,3,11,51,,,,,,,,,,,,
8202,56,3,31,51,,,,,,,,,,,,
8203,53,7,31,51,,,,,,,,,,,,
8204,53,6,11,11,,,,,,,,,,,,
8204,56,9,81,51,,,,,,,,,,,,
8207,51,4,81,21,,,,,,,,,,,,
8207,54,3,31,11,,,,,,,,,,,,
8207,54,9,41,11,,,,,,,,,,,,
8207,55,9,31,41,,,,,,,,,,,,
8209,56,6,1,21,,,,,,,,,,,,
8210,51,8,11,41,,,,,,,,,,,,
8210,56,8,31,11,,,,,,,,,,,,
8211,55,7,1,51,,,,,,,,,,,,
8211,57,5,61,1,,,,,,,,,,,,
8212,55,9,71,41,,,,,,,,,,,,
8213,56,2,31,41,,,,,,,,,,,,
8215,54,2,81,41,,,,,,,,,,,,
8217,51,3,71,21,,,,,,,,,,,,
8219,55,9,31,21,,,,,,,,,,,,
8221,55,9,91,31,,,,,,,,,,,,
8222,50,5,61,1,,,,,,,,,,,,
8223,58,2,1,41,,,,,,,,,,,,
8224,56,2,81,31,,,,,,,,,,,,
8225,52,4,71,31,,,,,,,,,,,,
8226,55,4,11,31,,,,,,,,,,,,
8226,57,6,81,21,,,,,,,,,,,,
8229,52,3,91,1,,,,,,,,,,,,
8230,50,9,21,21,,,,,,,,,,,,
8230,56,6,61,1,,,,,,,,,,,,
8231,51,6,21,41,,,,,,,,,,,,
8231,56,3,51,51,,,,,,,,,,,,
8234,54,6,31,21,,,,,,,,,,,,
8234,57,5,91,1,,,,,,,,,,,,
8237,55,8,11,21,,,,,,,,,,,,
8238,50,7,11,21,,,,,,,,,,,,
8238,51,6,81,31,,,,,,,,,,,,
8240,51,2,71,1,,,,,,,,,,,,
8244,56,7,61,11,,,,,,,,,,,,
8245,53,4,41,21,,,,,,,,,,,,
8247,54,4,1,11,,,,,,,,,,,,
8247,54,7,81,51,,,,,,,,,,,,
8249,53,8,91,21,,,,,,,,,,,,
8251,57,4,51,51,,,,,,,,,,,,
8252,56,4,21,1,,,,,,,,,,,,
8253,53,8,31,21,,,,,,,,,,,,
8253,57,9,91,21,,,,,,,,,,,,
8254,52,4,11,31,,,,,,,,,,,,
8256,54,7,71,41,,,,,,,,,,,,
8256,55,9,31,31,,,,,,,,,,,,
8258,50,7,81,11,,,,,,,,,,,,
8260,56,5,31,21,,,,,,,,,,,,
8261,53,9,51,21,,,,,,,,,,,,
8262,53,2,41,31,,,,,,,,,,,,
8266,51,5,21,41,,,,,,,,,,,,
8267,53,2,11,41,,,,,,,,,,,,
8268,51,3,61,21,,,,,,,,,,,,
8268,51,6,51,41,,,,,,,,,,,,
8269,50,9,1,41,,,,,,,,,,,,
8269,52,3,41,41,,,,,,,,,,,,
8271,52,7,11,31,,,,,,,,,,,,
8271,54,3,51,1,,,,,,,,,,,,
8271,55,5,91,21,,,,,,,,,,,,
8273,53,5,11,1,,,,,,,,,,,,
8273,55,7,41,1,,,,,,,,,,,,
8276,58,2,11,41,,,,,,,,,,,,
8277,51,5,1,51,,,,,,,,,,,,
8281,54,4,31,31,,,,,,,,,,,,
8281,56,4,71,41,,,,,,,,,,,,
8281,57,9,61,1,,,,,,,,,,,,
8282,57,7,11,11,,,,,,,,,,,,
8283,50,9,71,11,,,,,,,,,,,,
8283,57,4,81,11,,,,,,,,,,,,
8285,57,6,81,11,,,,,,,,,,,,
8287,52,9,81,11,,,,,,,,,,,,
8288,50,3,1,31,,,,,,,,,,,,
8288,50,3,31,51,,,,,,,,,,,,
8288,55,9,91,11,,,,,,,,,,,,
8289,53,4,71,1,,,,,,,,,,,,
8289,57,4,11,1,,,,,,,,,,,,
8290,56,8,11,1,,,,,,,,,,,,
8291,53,6,51,11,,,,,,,,,,,,
8293,56,9,21,51,,,,,,,,,,,,
8294,51,6,41,51,,,,,,,,,,,,
8294,57,4,91,51,,,,,,,,,,,,
8294,58,2,51,41,,,,,,,,,,,,
8295,53,7,41,21,,,,,,,,,,,,
8296,53,5,1,11,,,,,,,,,,,,
8296,56,5,11,41,,,,,,,,,,,,
8296,57,3,41,41,,,,,,,,,,,,
8296,57,3,91,1,,,,,,,,,,,,
8297,54,7,1,11,,,,,,,,,,,,
8299,50,5,81,21,,,,,,,,,,,,
8299,54,2,11,1,,,,,,,,,,,,
8299,57,2,41,31,,,,,,,,,,,,
8300,52,5,21,21,,,,,,,,,,,,
8300,52,6,61,21,,,,,,,,,,,,
8301,52,6,51,31,,,,,,,,,,,,
8301,54,2,81,1,,,,,,,,,,,,
8302,50,3,1,21,,,,,,,,,,,,
8303,56,7,71,31,,,,,,,,,,,,
8304,52,2,11,1,,,,,,,,,,,,
8304,56,7,41,21,,,,,,,,,,,,
8305,55,2,11,31,,,,,,,,,,,,
8306,50,9,71,31,,,,,,,,,,,,
8306,58,2,81,21,,,,,,,,,,,,
8309,52,2,71,41,,,,,,,,,,,,
8309,56,4,91,21,,,,,,,,,,,,
8310,52,2,41,1,,,,,,,,,,,,
8310,53,7,91,21,,,,,,,,,,,,
8310,55,7,41,41,,,,,,,,,,,,
8313,51,4,71,21,,,,,,,,,,,,
8314,53,6,1,11,,,,,,,,,,,,
8316,56,2,1,41,,,,,,,,,,,,
8316,56,3,81,1,,,,,,,,,,,,
8319,56,3,51,31,,,,,,,,,,,,
8319,57,5,11,51,,,,,,,,,,,,
8319,58,2,21,31,,,,,,,,,,,,
8321,53,6,61,31,,,,,,,,,,,,
8321,53,6,81,31,,,,,,,,,,,,
8321,57,8,41,31,,,,,,,,,,,,
8323,54,2,11,21,,,,,,,,,,,,
8323,55,6,81,21,,,,,,,,,,,,
8323,56,9,91,31,,,,,,,,,,,,
8323,57,4,61,51,,,,,,,,,,,,
8324,51,8,81,31,,,,,,,,,,,,
8324,54,6,51,41,,,,,,,,,,,,
8325,51,3,31,1,,,,,,,,,,,,
8326,50,2,1,21,,,,,,,,,,,,
8326,51,2,1,11,,,,,,,,,,,,
8326,55,2,41,11,,,,,,,,,,,,
8330,55,7,21,11,,,,,,,,,,,,
8331,50,4,71,31,,,,,,,,,,,,
8332,50,9,71,21,,,,,,,,,,,,
8332,51,2,11,31,,,,,,,,,,,,
8332,57,3,21,11,,,,,,,,,,,,
8333,50,2,11,51,,,,,,,,,,,,
8333,54,6,1,1,,,,,,,,,,,,
8333,55,6,41,21,,,,,,,,,,,,
8333,56,3,71,1,,,,,,,,,,,,
8334,51,4,41,31,,,,,,,,,,,,
8334,55,5,11,31,,,,,,,,,,,,
8335,51,6,61,21,,,,,,,,,,,,
8335,52,4,11,41,,,,,,,,,,,,
8335,52,4,31,31,,,,,,,,,,,,
8336,51,5,21,31,,,,,,,,,,,,
8337,51,5,61,31,,,,,,,,,,,,
8337,52,5,41,1,,,,,,,,,,,,
8338,52,4,91,11,,,,,,,,,,,,
8339,52,6,31,41,,,,,,,,,,,,
8339,54,8,61,41,,,,,,,,,,,,
8343,50,6,61,1,,,,,,,,,,,,
8343,52,4,81,1,,,,,,,,,,,,
8343,55,3,91,21,,,,,,,,,,,,
8343,55,7,41,21,,,,,,,,,,,,
8344,52,2,61,11,,,,,,,,,,,,
8345,54,2,71,1,,,,,,,,,,,,
8346,52,5,71,51,,,,,,,,,,,,
8346,52,9,1,41,,,,,,,,,,,,
8346,56,6,41,21,,,,,,,,,,,,
8347,53,5,91,41,,,,,,,,,,,,
8347,56,5,1,11,,,,,,,,,,,,
8348,56,6,21,41,,,,,,,,,,,,
8349,51,5,21,51,,,,,,,,,,,,
8351,50,5,31,41,,,,,,,,,,,,
8351,52,8,21,1,,,,,,,,,,,,
8352,50,8,91,51,,,,,,,,,,,,
8352,51,8,81,11,,,,,,,,,,,,
8352,52,2,1,31,,,,,,,,,,,,
8353,55,6,11,11,,,,,,,,,,,,
8354,52,2,41,11,,,,,,,,,,,,
8354,52,6,91,21,,,,,,,,,,,,
8355,50,5,21,11,,,,,,,,,,,,
8355,55,4,91,1,,,,,,,,,,,,
8355,57,3,81,41,,,,,,,,,,,,
8357,51,2,71,31,,,,,,,,,,,,
8358,52,4,91,51,,,,,,,,,,,,
8359,55,4,11,11,,,,,,,,,,,,
8360,54,9,11,41,,,,,,,,,,,,
8361,57,5,31,41,,,,,,,,,,,,
8362,54,4,91,51,,,,,,,,,,,,
8363,53,8,71,1,,,,,,,,,,,,
8364,55,8,1,21,,,,,,,,,,,,
8364,57,7,71,31,,,,,,,,,,,,
8366,50,4,91,41,,,,,,,,,,,,
8366,54,8,1,21,,,,,,,,,,,,
8366,54,8,31,21,,,,,,,,,,,,
8367,50,8,81,1,,,,,,,,,,,,
8370,58,2,21,21,,,,,,,,,,,,
8372,50,8,61,31,,,,,,,,,,,,
8373,52,3,51,51,,,,,,,,,,,,
8375,50,4,41,31,,,,,,,,,,,,
8375,55,6,61,21,,,,,,,,,,,,
8376,50,3,71,51,,,,,,,,,,,,
8377,55,4,1,1,,,,,,,,,,,,
8378,50,5,31,51,,,,,,,,,,,,
8378,52,6,31,51,,,,,,,,,,,,
8378,54,3,71,31,,,,,,,,,,,,
8379,56,7,11,11,,,,,,,,,,,,
8380,55,3,71,21,,,,,,,,,,,,
8381,55,6,51,21,,,,,,,,,,,,
8381,57,5,51,1,,,,,,,,,,,,
8382,50,8,11,1,,,,,,,,,,,,
8382,51,3,31,21,,,,,,,,,,,,
8382,53,5,61,51,,,,,,,,,,,,
8382,57,9,21,21,,,,,,,,,,,,
8383,53,3,31,11,,,,,,,,,,,,
8384,55,6,71,41,,,,,,,,,,,,
8384,57,7,71,21,,,,,,,,,,,,
8386,54,9,1,41,,,,,,,,,,,,
8387,50,6,1,51,,,,,,,,,,,,
8392,50,3,81,41,,,,,,,,,,,,
8392,51,3,81,1,,,,,,,,,,,,
8393,53,7,21,51,,,,,,,,,,,,
8395,51,2,21,21,,,,,,,,,,,,
8395,51,8,71,11,,,,,,,,,,,,
8395,58,3,11,11,,,,,,,,,,,,
8396,50,6,51,11,,,,,,,,,,,,
8396,53,6,41,51,,,,,,,,,,,,
8397,55,2,61,51,,,,,,,,,,,,
8398,52,3,81,31,,,,,,,,,,,,
8398,52,7,41,21,,,,,,,,,,,,
8398,54,9,1,1,,,,,,,,,,,,
8399,55,8,11,11,,,,,,,,,,,,
8400,50,9,11,11,,,,,,,,,,,,
8400,54,2,41,1,,,,,,,,,,,,
8400,54,3,41,1,,,,,,,,,,,,
8400,55,8,1,11,,,,,,,,,,,,
8402,50,5,31,1,,,,,,,,,,,,
8402,53,6,81,41,,,,,,,,,,,,
8403,52,2,21,31,,,,,,,,,,,,
8403,54,2,31,21,,,,,,,,,,,,
8403,54,9,91,41,,,,,,,,,,,,
8404,52,9,91,21,,,,,,,,,,,,
8404,54,7,21,11,,,,,,,,,,,,
8405,54,2,31,1,,,,,,,,,,,,
8406,50,8,81,41,,,,,,,,,,,,
8406,53,7,71,31,,,,,,,,,,,,
8407,51,9,31,1,,,,,,,,,,,,
8407,55,5,71,31,,,,,,,,,,,,
8407,56,3,21,51,,,,,,,,,,,,
8408,57,9,41,41,,,,,,,,,,,,
8410,50,8,91,1,,,,,,,,,,,,
8410,51,4,41,21,,,,,,,,,,,,
8410,56,2,51,11,,,,,,,,,,,,
8414,50,6,81,31,,,,,,,,,,,,
8414,54,3,51,21,,,,,,,,,,,,
8418,53,2,31,21,,,,,,,,,,,,
8419,57,3,21,21,,,,,,,,,,,,
8420,51,9,41,1,,,,,,,,,,,,
8420,55,4,41,21,,,,,,,,,,,,
8421,50,8,21,41,,,,,,,,,,,,
8422,56,7,1,21,,,,,,,,,,,,
8424,57,7,61,31,,,,,,,,,,,,
8426,57,8,31,41,,,,,,,,,,,,
8428,52,7,41,31,,,,,,,,,,,,
8428,56,9,21,41,,,,,,,,,,,,
8430,50,4,71,11,,,,,,,,,,,,
8430,52,4,21,31,,,,,,,,,,,,
8431,51,5,51,21,,,,,,,,,,,,
8431,52,7,71,21,,,,,,,,,,,,
8431,55,3,11,51,,,,,,,,,,,,
8431,56,9,41,21,,,,,,,,,,,,
8432,56,4,81,11,,,,,,,,,,,,
8432,56,9,41,41,,,,,,,,,,,,
8433,50,3,51,51,,,,,,,,,,,,
8433,53,2,81,41,,,,,,,,,,,,
8434,50,4,31,11,,,,,,,,,,,,
8434,50,8,51,51,,,,,,,,,,,,
8434,51,5,71,51,,,,,,,,,,,,
8434,54,6,51,1,,,,,,,,,,,,
8435,51,6,1,11,,,,,,,,,,,,
8436,57,8,11,51,,,,,,,,,,,,
8437,51,7,51,31,,,,,,,,,,,,
8438,51,3,51,51,,,,,,,,,,,,
8438,57,9,1,11,,,,,,,,,,,,
8440,57,2,61,31,,,,,,,,,,,,
8443,53,4,1,51,,,,,,,,,,,,
8444,52,3,21,11,,,,,,,,,,,,
8444,54,3,81,21,,,,,,,,,,,,
8444,57,2,61,51,,,,,,,,,,,,
8446,50,4,1,41,,,,,,,,,,,,
8446,53,7,1,21,,,,,,,,,,,,
8446,55,4,41,41,,,,,,,,,,,,
8446,55,6,41,51,,,,,,,,,,,,
8446,55,7,11,51,,,,,,,,,,,,
8448,50,8,71,11,,,,,,,,,,,,
8448,50,9,21,41,,,,,,,,,,,,
8449,54,8,81,41,,,,,,,,,,,,
8449,56,3,71,11,,,,,,,,,,,,
8449,58,2,71,1,,,,,,,,,,,,
8450,54,5,31,41,,,,,,,,,,,,
8450,54,7,71,1,,,,,,,,,,,,
8453,56,5,71,51,,,,,,,,,,,,
8454,54,2,1,21,,,,,,,,,,,,
8455,54,7,61,41,,,,,,,,,,,,
8457,50,8,61,51,,,,,,,,,,,,
8457,50,9,11,1,,,,,,,,,,,,
8458,54,8,31,11,,,,,,,,,,,,
8460,54,6,71,41,,,,,,,,,,,,
8461,51,4,71,41,,,,,,,,,,,,
8461,51,9,61,1,,,,,,,,,,,,
8461,55,2,41,1,,,,,,,,,,,,
8461,57,2,61,21,,,,,,,,,,,,
8462,51,4,1,11,,,,,,,,,,,,
8462,56,4,31,11,,,,,,,,,,,,
8463,52,8,1,11,,,,,,,,,,,,
8463,55,8,61,11,,,,,,,,,,,,
8463,56,4,61,21,,,,,,,,,,,,
8463,57,7,91,51,,,,,,,,,,,,
8464,50,3,11,21,,,,,,,,,,,,
8466,54,8,11,21,,,,,,,,,,,,
8467,51,6,81,51,,,,,,,,,,,,
8467,51,7,11,11,,,,,,,,,,,,
8467,54,4,61,51,,,,,,,,,,,,
8467,56,3,61,31,,,,,,,,,,,,
8468,53,3,61,1,,,,,,,,,,,,
8468,57,6,61,21,,,,,,,,,,,,
8470,50,3,31,11,,,,,,,,,,,,
8470,51,8,11,31,,,,,,,,,,,,
8472,54,3,1,51,,,,,,,,,,,,
8473,53,4,81,1,,,,,,,,,,,,
8474,56,3,71,41,,,,,,,,,,,,
8475,50,6,71,21,,,,,,,,,,,,
8475,51,7,21,11,,,,,,,,,,,,
8475,51,7,61,31,,,,,,,,,,,,
8475,53,4,51,21,,,,,,,,,,,,
8476,51,4,31,11,,,,,,,,,,,,
8476,57,8,11,31,,,,,,,,,,,,
8477,56,2,51,41,,,,,,,,,,,,
8478,51,2,1,51,,,,,,,,,,,,
8480,52,5,61,21,,,,,,,,,,,,
8481,50,9,51,21,,,,,,,,,,,,
8481,57,7,51,41,,,,,,,,,,,,
8482,54,7,81,1,,,,,,,,,,,,
8482,56,7,41,41,,,,,,,,,,,,
8483,54,4,81,21,,,,,,,,,,,,
8484,50,6,61,51,,,,,,,,,,,,
8486,57,9,71,1,,,,,,,,,,,,
8488,50,7,1,1,,,,,,,,,,,,
8489,52,7,51,41,,,,,,,,,,,,
8489,54,6,31,51,,,,,,,,,,,,
8489,55,4,91,21,,,,,,,,,,,,
8490,51,2,51,21,,,,,,,,,,,,
8490,53,8,81,1,,,,,,,,,,,,
8490,54,8,31,51,,,,,,,,,,,,
8490,54,9,11,1,,,,,,,,,,,,
8490,57,6,1,1,,,,,,,,,,,,
8490,57,9,61,51,,,,,,,,,,,,
8491,57,5,91,51,,,,,,,,,,,,
8492,50,3,1,1,,,,,,,,,,,,
8492,53,6,71,1,,,,,,,,,,,,
8492,55,3,71,31,,,,,,,,,,,,
8493,54,4,21,51,,,,,,,,,,,,
8494,50,8,61,41,,,,,,,,,,,,
8494,53,7,21,1,,,,,,,,,,,,
8494,55,7,1,31,,,,,,,,,,,,
8494,57,4,71,21,,,,,,,,,,,,
8495,54,2,21,21,,,,,,,,,,,,
8495,56,2,81,21,,,,,,,,,,,,
8495,57,8,61,51,,,,,,,,,,,,
8496,50,5,21,31,,,,,,,,,,,,
8496,50,7,1,11,,,,,,,,,,,,
8499,53,6,21,31,,,,,,,,,,,,
